                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8881,                 6.0537,                 1.7892,                0.02521,                0.02206,                0.02376,                0.00933,                 1.5438,                  4.433,                 1.0944,             0.00014128,             0.00014128,             0.00014128
                      2,                 1.4464,                  4.962,                  1.462,                0.01947,                0.30783,                0.08789,                0.04528,                 1.4667,                 3.8256,                 1.1849,             0.00028061,             0.00028061,             0.00028061
                      3,                 1.3408,                 4.3791,                  1.404,                0.74939,                0.05675,                0.17761,                0.09131,                 1.4591,                 3.1852,                 1.2353,              0.0004142,              0.0004142,              0.0004142
                      4,                 1.2867,                 3.8305,                  1.335,                0.55219,                0.25256,                0.28282,                 0.1687,                 1.4799,                 2.5546,                 1.2243,             0.00040916,             0.00040916,             0.00040916
                      5,                  1.229,                 3.5148,                 1.3192,                 0.4329,                0.35384,                0.35086,                0.21376,                 1.4846,                 2.2772,                 1.2307,             0.00040055,             0.00040055,             0.00040055
                      6,                 1.1841,                 3.1921,                 1.2452,                0.60533,                0.32752,                 0.4323,                0.24956,                 1.4375,                 1.9246,                 1.2144,             0.00039193,             0.00039193,             0.00039193
                      7,                 1.1445,                 3.0074,                 1.2359,                0.53148,                0.50236,                0.55222,                0.30262,                 1.4942,                 1.8786,                 1.2565,             0.00038332,             0.00038332,             0.00038332
                      8,                  1.125,                 2.7881,                 1.2284,                0.63427,                0.49961,                0.61742,                0.35533,                 1.4541,                 1.7177,                 1.2266,             0.00037471,             0.00037471,             0.00037471
                      9,                 1.0655,                 2.6122,                 1.1899,                0.63578,                0.46484,                0.58696,                0.36524,                 1.3543,                 1.6973,                 1.1824,              0.0003661,              0.0003661,              0.0003661
                     10,                 1.0517,                 2.4713,                 1.1926,                0.56303,                0.46954,                0.56733,                 0.3817,                  1.311,                 1.7107,                 1.1663,             0.00035748,             0.00035748,             0.00035748
                     11,                 1.0488,                 2.3189,                 1.1808,                0.64672,                0.49721,                0.60054,                0.41164,                 1.2366,                 1.7142,                  1.096,             0.00034887,             0.00034887,             0.00034887
                     12,                 1.0215,                 2.2075,                 1.1745,                0.49964,                0.59895,                0.62551,                0.39564,                 1.3159,                 1.5924,                 1.1665,             0.00034026,             0.00034026,             0.00034026
                     13,                 0.9947,                 2.0896,                  1.148,                0.59022,                0.57222,                0.60097,                0.41371,                 1.2911,                 1.7979,                 1.1275,             0.00033164,             0.00033164,             0.00033164
                     14,                0.96996,                 1.9657,                 1.1295,                0.52416,                0.51841,                0.61945,                0.36563,                 1.3611,                  1.507,                 1.1807,             0.00032303,             0.00032303,             0.00032303
                     15,                0.95517,                 1.9185,                 1.1376,                0.52508,                0.49117,                0.58209,                0.35627,                 1.2944,                 1.6052,                 1.1353,             0.00031442,             0.00031442,             0.00031442
                     16,                0.93074,                 1.8051,                 1.1273,                0.50845,                0.54836,                0.61453,                0.36084,                 1.3255,                 1.5916,                 1.1564,              0.0003058,              0.0003058,              0.0003058
                     17,                0.91466,                  1.745,                 1.1063,                0.65188,                0.66975,                  0.679,                0.44188,                  1.287,                 1.5141,                 1.1341,             0.00029719,             0.00029719,             0.00029719
                     18,                0.91685,                  1.684,                  1.094,                0.58043,                0.70599,                0.72054,                0.45829,                 1.3425,                  1.374,                 1.1646,             0.00028858,             0.00028858,             0.00028858
                     19,                0.90307,                 1.7152,                 1.1051,                0.63525,                0.62002,                0.68358,                0.46388,                 1.3232,                 1.3921,                 1.1539,             0.00027997,             0.00027997,             0.00027997
                     20,                0.89801,                 1.6202,                 1.0832,                0.55379,                0.61574,                0.68011,                0.42366,                 1.3632,                 1.5023,                 1.1755,             0.00027135,             0.00027135,             0.00027135
                     21,                0.86879,                 1.5392,                 1.0962,                 0.6562,                0.52548,                0.59938,                0.39625,                 1.2804,                 1.4974,                 1.1232,             0.00026274,             0.00026274,             0.00026274
                     22,                0.88384,                 1.5002,                 1.0624,                0.62958,                0.66861,                  0.701,                0.45412,                 1.2832,                 1.2303,                 1.1205,             0.00025413,             0.00025413,             0.00025413
                     23,                0.86238,                 1.4728,                  1.062,                0.63333,                0.64421,                0.70292,                0.46764,                 1.2703,                 1.3378,                 1.1202,             0.00024551,             0.00024551,             0.00024551
                     24,                 0.8796,                 1.4991,                 1.0688,                0.70933,                0.62396,                0.70515,                0.41616,                  1.436,                 1.2763,                 1.2156,              0.0002369,              0.0002369,              0.0002369
                     25,                0.81295,                 1.4061,                 1.0489,                0.64511,                0.62205,                0.67052,                0.45656,                  1.213,                 1.3853,                 1.0965,             0.00022829,             0.00022829,             0.00022829
                     26,                0.81324,                 1.3497,                 1.0385,                 0.6036,                0.66798,                0.70849,                0.48161,                 1.2786,                 1.4027,                 1.1299,             0.00021968,             0.00021968,             0.00021968
                     27,                0.80603,                 1.3236,                 1.0349,                0.73415,                0.60586,                0.67852,                0.46967,                  1.266,                 1.3123,                  1.147,             0.00021106,             0.00021106,             0.00021106
                     28,                0.78657,                 1.2683,                 1.0348,                0.70251,                0.60728,                0.72598,                0.49438,                 1.2459,                  1.266,                  1.118,             0.00020245,             0.00020245,             0.00020245
                     29,                0.74862,                 1.2004,                 1.0069,                0.65978,                  0.667,                0.70228,                0.48168,                 1.2815,                 1.3083,                 1.1359,             0.00019384,             0.00019384,             0.00019384
                     30,                0.77573,                 1.1957,                 1.0207,                0.68608,                0.66215,                0.72004,                0.52374,                 1.1499,                 1.2752,                 1.0802,             0.00018522,             0.00018522,             0.00018522
                     31,                0.76363,                 1.1849,                 1.0042,                0.65479,                0.64417,                0.71289,                0.46165,                 1.2582,                 1.3317,                 1.1199,             0.00017661,             0.00017661,             0.00017661
                     32,                0.73461,                  1.181,                 1.0067,                0.55237,                0.71993,                0.69268,                0.45263,                  1.246,                 1.2386,                 1.1207,               0.000168,               0.000168,               0.000168
                     33,                0.74801,                 1.1597,                 1.0055,                0.66701,                0.72033,                0.71905,                 0.4984,                 1.1895,                 1.1959,                 1.0838,             0.00015938,             0.00015938,             0.00015938
                     34,                0.71625,                 1.1095,                0.98264,                 0.6217,                0.74534,                0.76998,                0.51298,                 1.2139,                 1.2423,                  1.125,             0.00015077,             0.00015077,             0.00015077
                     35,                0.74249,                 1.1147,                 1.0096,                 0.7352,                0.69084,                0.76892,                0.49841,                 1.2793,                 1.2306,                 1.1619,             0.00014216,             0.00014216,             0.00014216
                     36,                0.72829,                 1.0955,                0.98413,                0.77897,                0.60307,                0.75112,                0.51627,                 1.2243,                 1.2164,                 1.1235,             0.00013355,             0.00013355,             0.00013355
                     37,                0.74408,                 1.0756,                0.98036,                 0.6599,                0.72856,                0.75313,                0.50335,                 1.2368,                 1.2211,                  1.116,             0.00012493,             0.00012493,             0.00012493
                     38,                0.73657,                 1.0914,                 1.0079,                0.62057,                0.64894,                0.75673,                  0.523,                 1.1864,                 1.2418,                 1.0996,             0.00011632,             0.00011632,             0.00011632
                     39,                0.69793,                 1.0357,                0.97678,                0.62885,                0.70697,                0.73859,                0.48234,                 1.2553,                  1.221,                 1.1364,             0.00010771,             0.00010771,             0.00010771
                     40,                0.67357,                 1.0145,                0.97782,                0.70913,                0.66286,                0.74332,                0.49527,                  1.252,                 1.1823,                  1.146,             9.9093e-05,             9.9093e-05,             9.9093e-05
                     41,                0.75635,                 1.2782,                0.89998,                0.71425,                0.68138,                0.76061,                0.52442,                 1.1999,                 1.1697,                 1.1115,              9.048e-05,              9.048e-05,              9.048e-05
                     42,                 0.7522,                 1.2277,                0.87586,                0.73763,                0.68239,                0.77127,                0.53824,                 1.1922,                  1.167,                  1.099,             8.1867e-05,             8.1867e-05,             8.1867e-05
                     43,                0.76214,                 1.2049,                0.87161,                0.71279,                0.68042,                0.77176,                0.54218,                 1.1995,                 1.1794,                 1.1126,             7.3254e-05,             7.3254e-05,             7.3254e-05
                     44,                0.73187,                 1.1697,                0.87452,                0.68138,                0.69382,                0.75962,                 0.5289,                 1.2229,                 1.1556,                 1.1165,             6.4641e-05,             6.4641e-05,             6.4641e-05
                     45,                0.71422,                 1.1617,                0.86076,                0.61363,                0.71483,                0.76289,                0.54168,                  1.194,                 1.1508,                 1.1165,             5.6028e-05,             5.6028e-05,             5.6028e-05
                     46,                0.70135,                 1.1439,                0.86046,                0.71665,                0.70559,                0.77482,                0.52503,                 1.2286,                 1.1616,                 1.1343,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     47,                0.68395,                 1.1333,                0.87059,                0.76099,                0.67275,                0.77142,                0.52101,                 1.2077,                 1.1497,                 1.1257,             3.8802e-05,             3.8802e-05,             3.8802e-05
                     48,                 0.7165,                 1.1281,                 0.8662,                0.74766,                0.67992,                0.78526,                0.52537,                 1.2261,                 1.1564,                 1.1277,             3.0189e-05,             3.0189e-05,             3.0189e-05
                     49,                0.67678,                 1.0979,                0.83911,                0.71684,                0.70523,                0.79265,                0.53943,                 1.2049,                 1.1608,                 1.1175,             2.1576e-05,             2.1576e-05,             2.1576e-05
                     50,                0.69031,                 1.0938,                 0.8577,                0.71191,                0.71091,                0.78126,                0.53223,                 1.2164,                 1.1691,                  1.129,             1.2963e-05,             1.2963e-05,             1.2963e-05
